name,url,stars,rec,date
Porto Veneziano,/hotel/gr/bw-porto-veneziano.el.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9jaGFuaWFICFgDaFyIAQGYAQi4AQzIARTYAQPoAQH4AQOYAgKoAgM&sid=db97eb063cf7b2ffee390c8e6e38a5d0&checkin=2016-12-01&checkout=2016-12-02&ucfs=1&highlighted_blocks=9610601_88566656_1_1_0&all_sr_blocks=9610601_88566656_1_1_0&room1=A&nflt=&hpos=1&dest_type=city&dest_id=-820164&srfid=16d5dfeb9fb39f75d7c59f05bd0545fc9bbed272X1&highlight_room=,3,1,
Ξενοδοχείο Κρήτη,/hotel/gr/kritihotel.el.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9jaGFuaWFICFgDaFyIAQGYAQi4AQzIARTYAQPoAQH4AQOYAgKoAgM&sid=db97eb063cf7b2ffee390c8e6e38a5d0&checkin=2016-12-01&checkout=2016-12-02&ucfs=1&highlighted_blocks=9574713_88566661_1_1_0&all_sr_blocks=9574713_88566661_1_1_0&room1=A&nflt=&hpos=2&dest_type=city&dest_id=-820164&srfid=16d5dfeb9fb39f75d7c59f05bd0545fc9bbed272X2&highlight_room=,3,1,
Palazzo Duca,"/hotel/gr/palazzo-duca.el.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9jaGFuaWFICFgDaFyIAQGYAQi4AQzIARTYAQPoAQH4AQOYAgKoAgM&sid=db97eb063cf7b2ffee390c8e6e38a5d0&checkin=2016-12-01&checkout=2016-12-02&ucfs=1&soh=1&highlighted_blocks=&all_sr_blocks=&room1=A&nflt=&soldout=1,0&hpos=3&dest_type=city&dest_id=-820164&srfid=16d5dfeb9fb39f75d7c59f05bd0545fc9bbed272X3&highlight_room=",4,1,
Casa Leone Boutique Hotel,/hotel/gr/casa-leone.el.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9jaGFuaWFICFgDaFyIAQGYAQi4AQzIARTYAQPoAQH4AQOYAgKoAgM&sid=db97eb063cf7b2ffee390c8e6e38a5d0&checkin=2016-12-01&checkout=2016-12-02&ucfs=1&highlighted_blocks=33499803_88566718_2_1_0&all_sr_blocks=33499803_88566718_2_1_0&room1=A&nflt=&hpos=4&dest_type=city&dest_id=-820164&srfid=16d5dfeb9fb39f75d7c59f05bd0545fc9bbed272X4&highlight_room=,4,1,
Elia Betolo Hotel,/hotel/gr/elia-chania-town.el.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9jaGFuaWFICFgDaFyIAQGYAQi4AQzIARTYAQPoAQH4AQOYAgKoAgM&sid=db97eb063cf7b2ffee390c8e6e38a5d0&checkin=2016-12-01&checkout=2016-12-02&ucfs=1&highlighted_blocks=134953005_94315454_1_0_0&all_sr_blocks=134953005_94315454_1_0_0&room1=A&nflt=&hpos=5&dest_type=city&dest_id=-820164&srfid=16d5dfeb9fb39f75d7c59f05bd0545fc9bbed272X5&highlight_room=,3,1,
Ξενοδοχείο Σαμαριά,/hotel/gr/samaria.el.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9jaGFuaWFICFgDaFyIAQGYAQi4AQzIARTYAQPoAQH4AQOYAgKoAgM&sid=db97eb063cf7b2ffee390c8e6e38a5d0&checkin=2016-12-01&checkout=2016-12-02&ucfs=1&highlighted_blocks=24155302_88566682_2_0_0&all_sr_blocks=24155302_88566682_2_0_0&room1=A&nflt=&hpos=6&dest_type=city&dest_id=-820164&srfid=16d5dfeb9fb39f75d7c59f05bd0545fc9bbed272X6&highlight_room=,4,1,
Kydon Hotel ,/hotel/gr/kydon.el.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9jaGFuaWFICFgDaFyIAQGYAQi4AQzIARTYAQPoAQH4AQOYAgKoAgM&sid=db97eb063cf7b2ffee390c8e6e38a5d0&checkin=2016-12-01&checkout=2016-12-02&ucfs=1&highlighted_blocks=9622603_88566678_0_41_0&all_sr_blocks=9622603_88566678_0_41_0&room1=A&nflt=&hpos=7&dest_type=city&dest_id=-820164&srfid=16d5dfeb9fb39f75d7c59f05bd0545fc9bbed272X7&highlight_room=,4,1,
Sea & City Apartments,/hotel/gr/sea-amp-city-apartments.el.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9jaGFuaWFICFgDaFyIAQGYAQi4AQzIARTYAQPoAQH4AQOYAgKoAgM&sid=db97eb063cf7b2ffee390c8e6e38a5d0&checkin=2016-12-01&checkout=2016-12-02&ucfs=1&highlighted_blocks=174153105_93126894_2_0_0&all_sr_blocks=174153105_93126894_2_0_0&room1=A&nflt=&hpos=8&dest_type=city&dest_id=-820164&srfid=16d5dfeb9fb39f75d7c59f05bd0545fc9bbed272X8&highlight_room=,0,1,
Ξενοδοχείο Αρκάδι,/hotel/gr/arkadi.el.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9jaGFuaWFICFgDaFyIAQGYAQi4AQzIARTYAQPoAQH4AQOYAgKoAgM&sid=db97eb063cf7b2ffee390c8e6e38a5d0&checkin=2016-12-01&checkout=2016-12-02&ucfs=1&highlighted_blocks=9628803_90505260_1_1_0&all_sr_blocks=9628803_90505260_1_1_0&room1=A&nflt=&hpos=9&dest_type=city&dest_id=-820164&srfid=16d5dfeb9fb39f75d7c59f05bd0545fc9bbed272X9&highlight_room=,3,1,
Ionas Boutique Hotel,/hotel/gr/ionas.el.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9jaGFuaWFICFgDaFyIAQGYAQi4AQzIARTYAQPoAQH4AQOYAgKoAgM&sid=db97eb063cf7b2ffee390c8e6e38a5d0&checkin=2016-12-01&checkout=2016-12-02&ucfs=1&highlighted_blocks=1491705_94232427_1_0_0&all_sr_blocks=1491705_94232427_1_0_0&room1=A&nflt=&hpos=10&dest_type=city&dest_id=-820164&srfid=16d5dfeb9fb39f75d7c59f05bd0545fc9bbed272X10&highlight_room=,3,1,
